DESIGNATION,RA,DEC,ra_gaia_ref,dec_gaia_ref,pmra,pmdec,j,h,k,distJ,distH,distK
Gaia DR3 1445625072017995776,205.2034845,26.75242248,205.2034289,26.7523918,-9.979251871,-5.712677561,17.77768883,18.07655636,19.67369592,0.210100363,0.220409807,0.388798927
Gaia DR3 1454875301997214848,205.6193393,28.3818718,205.6193552,28.38186073,-0.196634648,-2.781033381,17.15285251,17.67871702,19.18835487,0.064291582,0.033614811,0.123553011
Gaia DR3 1454781121956434816,205.5963131,28.33815543,205.5963362,28.3381278,0.191236538,-2.633469634,17.88180375,18.29531863,19.93522046,0.123633168,0.033257929,0.195482191
Gaia DR3 1454781396837634048,205.5852637,28.36661833,205.5852877,28.36664218,0,0,14.71752445,15.78541616,17.00290865,0.1145148,0.18365988,0.165341844
Gaia DR3 1454878188214917632,205.579245,28.38217917,205.579253,28.38218395,-0.970454126,-2.534117313,17.1004715,18.01621969,19.41532172,0.030492126,0.050468902,0.043244043
Gaia DR3 1454784523570419456,205.5053871,28.37249294,205.5053672,28.37250068,2.876612234,-1.694469487,17.46599879,17.61770165,19.19556135,0.068994914,0.240840014,0.170831014
Gaia DR3 1455431105124880768,207.9042569,30.19108949,207.9042273,30.19110308,-5.794904296,-3.344802031,17.24888226,17.56963736,19.09307678,0.104285038,0.135604651,0.169248032
Gaia DR3 1453556403440194048,209.3361714,28.93220121,209.3361896,28.9321914,-2.991290017,-13.12822942,15.85875187,16.69193105,18.00257069,0.067296468,0.080859515,0.144302009
Gaia DR3 1515179868352938624,190.5335069,33.52919766,190.5335207,33.52915509,-7.773258794,-12.5803835,16.20025867,16.90097086,18.24687516,0.158753322,0.118501412,0.121571044
Gaia DR3 1458337904633425792,206.2259459,32.51985169,206.2258551,32.51982278,-13.02510174,-20.23105428,17.71983092,18.01415661,19.61330224,0.294661853,0.217350409,0.213776049
Gaia DR3 1458110095271202304,207.0337117,32.38310948,207.0337315,32.38307647,-1.303664132,-1.545662778,16.98679407,17.73192482,19.20364302,0.133262545,0.131431805,0.146392308
Gaia DR3 1445580026402683136,205.703501,26.79260718,205.7034557,26.79260543,-2.101888738,0.913541671,17.41646826,18.27027932,19.82318837,0.145721087,0.19345126,0.274471098
Gaia DR3 1455762126844988160,206.7081425,31.0073516,206.7080973,31.00731137,-16.34285226,-2.342360849,18.08039571,18.20690195,19.89735938,0.200928984,0.222730173,0.324262278
Gaia DR3 1462160043272913152,202.2461732,29.83180304,202.2461287,29.83178908,-14.89811755,-13.37386658,17.48401811,18.12892253,19.61624473,0.14761645,0.230676555,0.221670647
