DESIGNATION,RA,DEC,ra_gaia_ref,dec_gaia_ref,pmra,pmdec,j,h,k,distJ,distH,distK
Gaia DR3 1455392274325428608,207.2316879,29.76999364,207.231641,29.76997617,-9.847813746,-0.984624108,18.16547862,18.18001211,19.74471505,0.159529969,0.155732506,0.09885703
Gaia DR3 1445625072017995776,205.2034845,26.75242248,205.2034289,26.7523918,-9.979251871,-5.712677561,17.77768883,18.07655636,19.67369592,0.210100363,0.220409807,0.388798927
Gaia DR3 1454728925217089408,205.5557057,28.07141756,205.5556815,28.07137075,-0.37041617,-2.627377312,18.25133347,18.27737297,19.66984135,0.185118847,0.436138147,0.494213309
Gaia DR3 1454779266528461824,205.5831205,28.23104952,205.5831295,28.2310436,-0.476440284,-2.576522918,17.88119466,18.68609857,19.70235649,0.035676292,0.145910382,0.116504345
Gaia DR3 1454779468392398848,205.6054657,28.25963205,205.6054777,28.25962805,-0.422232349,-2.513119862,17.85302209,18.25660211,19.58212363,0.04074426,0.140006145,0.12661851
Gaia DR3 1458144936048447488,206.3301527,32.34595279,206.3300499,32.3459616,-13.30203462,-1.556159392,17.37278506,18.47767391,19.23594583,0.313968171,0.228466805,0.222590578
Gaia DR3 1461851527181957504,199.973096,28.93906836,199.9731224,28.93905444,-7.493718677,-7.268265541,17.18740936,17.45887017,18.81034125,0.097251494,0.060528525,0.149724395
Gaia DR3 1462881872655906176,197.7690862,29.99382816,197.7690816,29.9937954,-3.398998272,-5.266747002,18.13949839,18.03288976,19.38046038,0.118795557,0.166278057,0.298959936
Gaia DR3 1473285657836161920,201.6181479,34.88025507,201.6180935,34.88028706,-1.419463463,-1.35319565,16.49460163,17.74641237,18.31889523,0.197437182,0.166736598,0.154354216
Gaia DR3 1454878871114941184,205.648773,28.4526884,205.6487709,28.45264444,-0.188196951,-2.296630335,17.75700454,18.55971134,19.54587603,0.15837983,0.165368941,0.347477542
Gaia DR3 1454874133765676416,205.634094,28.34130397,205.6340808,28.34127543,-0.101244739,-2.793413437,18.01534508,19.18534473,19.83067655,0.110868069,0.025856304,0.073963859
Gaia DR3 1454875091550142080,205.6299114,28.37013432,205.6299288,28.37012482,0.059638503,-2.640515462,17.18129028,18.38189644,19.63763445,0.064747022,0.038899394,0.029815755
Gaia DR3 1454879145992901760,205.6269041,28.46997263,205.6269168,28.46995071,0.002316719,-2.700786344,17.95009163,19.171664,19.89335959,0.088453093,0.140087363,0.235175709
Gaia DR3 1454875301997214848,205.6193393,28.3818718,205.6193552,28.38186073,-0.196634648,-2.781033381,17.15285251,17.67871702,19.18835487,0.064291582,0.033614811,0.123553011
Gaia DR3 1454874889679907200,205.6186373,28.34387324,205.6186377,28.34384981,-0.435620463,-2.396223368,17.479228,18.01378479,19.19722344,0.084366869,0.090776412,0.049043841
Gaia DR3 1454878802395439232,205.6116117,28.44243955,205.6116296,28.44240894,-0.063745852,-2.391126916,17.34130671,18.70521392,19.44221229,0.123890771,0.150405973,0.156453857
Gaia DR3 1454874958399398656,205.6078418,28.35406771,205.6078437,28.35403202,0.030747477,-2.363014966,17.99000808,18.44530994,19.75906012,0.128649368,0.069619461,0.214119467
Gaia DR3 1454879214712416768,205.601897,28.48270563,205.6019043,28.48267422,-0.053597564,-2.619007845,17.58653158,18.34651291,19.22194783,0.115418812,0.115317503,0.233137576
Gaia DR3 1454781121956434816,205.5963131,28.33815543,205.5963362,28.3381278,0.191236538,-2.633469634,17.88180375,18.29531863,19.93522046,0.123633168,0.033257929,0.195482191
Gaia DR3 1454878394376055680,205.5944448,28.41811088,205.5944385,28.41808346,-1.397504772,-2.221616793,16.52243493,17.3622171,18.21389783,0.10068791,0.194640273,0.270300908
Gaia DR3 1454781328115856384,205.5910399,28.35117972,205.5910272,28.35114112,0.190959713,-2.118628009,16.52795788,17.16085303,18.38163598,0.144649868,0.219372521,0.138193
Gaia DR3 1454781396837634048,205.5852637,28.36661833,205.5852877,28.36664218,0,0,14.71752445,15.78541616,17.00290865,0.1145148,0.18365988,0.165341844
Gaia DR3 1454875233278881152,205.5827804,28.37783909,205.5828344,28.37781002,-1.563315719,-1.198428676,14.35915914,15.15511789,15.91151424,0.200568782,0.417710836,0.363004847
Gaia DR3 1454878188214917632,205.579245,28.38217917,205.579253,28.38218395,-0.970454126,-2.534117313,17.1004715,18.01621969,19.41532172,0.030492126,0.050468902,0.043244043
Gaia DR3 1454878188214850816,205.5764914,28.3786743,205.5765248,28.3786057,0,0,16.25230183,17.49225027,18.1409191,0.268626826,0.240290258,0.293769531
Gaia DR3 1454784420494456704,205.5556483,28.39199403,205.5553971,28.39193992,-0.844089131,-1.793838187,14.52357493,14.92211466,15.90705246,0.818899744,0.21172071,0.150518712
Gaia DR3 1454781225038589824,205.5444646,28.32702381,205.5441659,28.32706753,-1.644645212,-4.126926805,17.4823534,18.77753453,19.82848254,0.959732074,0.219199948,0.240354233
Gaia DR3 1454879493885741952,205.5393878,28.45471447,205.539438,28.4546686,0.337405885,-2.664094423,18.36145176,18.55518315,19.94817361,0.229226103,0.124340547,0.298976705
Gaia DR3 1454784695369740416,205.5380718,28.4113157,205.5380613,28.41129582,7.718113018,0.445289215,16.71365857,17.73820155,18.92161546,0.078916357,0.219995636,0.224000479
Gaia DR3 1454784695370233728,205.5351198,28.41495673,205.5351331,28.41494199,0.502128474,-2.913517628,16.03533683,17.56724374,18.25177454,0.067731411,0.168525659,0.121210401
Gaia DR3 1454784179971471872,205.5341713,28.33815142,205.5341729,28.33814415,-0.35477507,-2.540019124,17.35647329,17.92813736,19.26294839,0.026639138,0.022166185,0.048995187
Gaia DR3 1454780640918039680,205.5289086,28.28932465,205.5289396,28.28929102,-0.20836992,-2.511688986,18.22566042,18.2981141,19.68191499,0.156069862,0.126085194,0.250633284
Gaia DR3 1454784484916765568,205.5243818,28.37837209,205.5243847,28.37835435,-0.259719078,-2.818982076,15.59780346,16.77792415,18.34307673,0.064522158,0.052187024,0.06711309
Gaia DR3 1454784661010871296,205.5242161,28.39617733,205.5242003,28.3961926,-0.30934251,-2.629739436,17.31453659,18.8753983,19.5905389,0.074303587,0.397054638,0.360318798
Gaia DR3 1454783802014141696,205.522432,28.32732042,205.5224341,28.32729584,0.374446261,-2.560395612,17.73219051,18.32120041,19.61283928,0.08871631,0.065366892,0.09198808
Gaia DR3 1454784244398592256,205.5202819,28.35092275,205.5202815,28.35091439,0.461370593,-2.458915607,15.37696613,16.45965756,17.15858808,0.030126564,0.020775239,0.023261932
Gaia DR3 1454784248692470784,205.5197667,28.36399719,205.5197314,28.36397833,0.095741189,-2.706378838,15.96952827,17.00101327,18.15201612,0.130985278,0.377480393,0.323786083
Gaia DR3 1454784454850890240,205.515351,28.36585268,205.5153359,28.36574696,0.440220954,-2.901214276,17.18784923,18.36164622,19.14970958,0.383582692,0.354135664,0.344440856
Gaia DR3 1454784454854072320,205.5136656,28.36888221,205.5137419,28.36886454,-0.807460745,-2.862028033,15.49521545,15.953719,17.10516453,0.250081205,0.834560859,0.552756624
Gaia DR3 1454784523570419456,205.5053871,28.37249294,205.5053672,28.37250068,2.876612234,-1.694469487,17.46599879,17.61770165,19.19556135,0.068994914,0.240840014,0.170831014
Gaia DR3 1454785485640924800,205.5038353,28.41961209,205.5038624,28.41960515,0.565657127,-2.923639195,14.84207134,15.4515247,16.29808283,0.089377917,0.116173135,0.147779125
Gaia DR3 1454785721865118080,205.4949329,28.43809576,205.4949592,28.43809866,-0.048827476,-2.729994853,17.48378873,18.61994832,19.52128057,0.084006509,0.078716665,0.081458579
Gaia DR3 1454785760523923840,205.4758404,28.43216304,205.4758496,28.43216303,-0.889295155,-2.743638268,18.05628185,18.48430521,19.84562032,0.029123811,0.087570394,0.227042819
Gaia DR3 1454784794152058240,205.4307204,28.35328426,205.4307179,28.35328983,-0.162313757,-2.594466752,17.08981395,18.12554445,19.39196492,0.021538273,0.038203967,0.036843473
Gaia DR3 1454834890649809280,205.9969585,28.4492617,205.9969617,28.44920926,-0.404285272,-2.747144598,18.06835776,18.57072586,19.70119574,0.189039863,0.215461875,0.173428778
Gaia DR3 1516623080444111232,193.0886226,34.67542292,193.0884543,34.67547902,-1.305136024,-1.996906325,18.16677021,18.47737552,19.98026832,0.537689971,0.076000024,1.87456966
Gaia DR3 1443904920436273792,204.9614219,23.94022909,204.9613767,23.9401934,-3.465064068,-2.85044988,18.46530686,18.58034395,19.93020552,0.196437379,0.054278377,0.203845735
Gaia DR3 1468097032400489216,197.3126149,35.11670846,197.3125777,35.11669411,0,0,18.12699266,18.05701858,19.40032865,0.120973125,0.111360596,0.178677108
Gaia DR3 1470549248272936704,205.1577969,33.77145197,205.1576513,33.77138758,-15.24286391,-0.050567568,17.7287578,18.39969511,19.61003655,0.493673495,0.539038532,0.507834397
Gaia DR3 1461571667112658944,200.6734151,28.3325746,200.6733595,28.33255403,-3.597829873,-2.727445827,18.1344138,18.09815957,19.44548315,0.191278228,0.130654873,0.217775951
Gaia DR3 1461627226811354240,200.7685168,28.8521771,200.7684898,28.85215188,3.707912945,-3.046530481,16.50623349,17.42432006,18.63294125,0.124445195,0.107633068,0.132217506
Gaia DR3 1451236292171928064,209.1127861,28.01182201,209.1127048,28.01182742,-24.9698148,-8.914949969,17.04703446,18.32787585,19.97622376,0.259182084,0.230716869,0.164154436
Gaia DR3 1455431105124880768,207.9042569,30.19108949,207.9042273,30.19110308,-5.794904296,-3.344802031,17.24888226,17.56963736,19.09307678,0.104285038,0.135604651,0.169248032
Gaia DR3 1464397961752790016,196.0039451,29.70256988,196.0038966,29.70255052,-19.91478034,-9.058915929,17.21636304,18.25986563,19.1558914,0.166929667,0.15760146,0.183160084
Gaia DR3 1452784370184015872,209.80981,28.67972929,209.8097458,28.67967703,-12.20290909,-4.853505132,17.11882931,17.50676372,18.87761489,0.276581511,0.312589764,0.267689542
Gaia DR3 1453556403440194048,209.3361714,28.93220121,209.3361896,28.9321914,-2.991290017,-13.12822942,15.85875187,16.69193105,18.00257069,0.067296468,0.080859515,0.144302009
Gaia DR3 1450618126118661120,208.4666914,26.3713006,208.4666462,26.37126272,-6.796979777,-2.99914206,18.19712137,18.34068407,19.99607256,0.199673191,0.198963266,0.242753897
Gaia DR3 1450622391021276416,208.3482194,26.45409229,208.3481854,26.45404067,-2.288360457,-3.175381779,17.42869494,17.94172367,19.37182565,0.215734413,0.213205733,0.228646826
